attendance,away_conference,away_division,away_id,away_line_scores,away_points,away_post_win_prob,away_postgame_elo,away_pregame_elo,away_team,completed,conference_game,excitement_index,highlights,home_conference,home_division,home_id,home_line_scores,home_points,home_post_win_prob,home_postgame_elo,home_pregame_elo,home_team,id,neutral_site,notes,season,season_type,start_date,start_time_tbd,venue,venue_id,week
,SIAC,II,2542,"[10, 7, 14, 0]",31.0,,,,Savannah State,True,True,,,SIAC,II,2206,"[7, 7, 7, 7]",28.0,,,,Edward Waters,401439514,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Earl Kitchings Stadium,3705.0,2
,CAA,FCS,227,"[0, 20, 7, 8]",35.0,0.9985437420080489,,,Rhode Island,True,False,4.9938899677,,Big South,FCS,2803,"[7, 7, 0, 7]",21.0,0.0014562579919512,,,Bryant,401426492,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Bulldog Stadium,3661.0,2
,Gulf South,II,2698,"[7, 0, 28, 7]",42.0,,,,West Georgia,True,False,,,SIAC,II,60,"[0, 0, 0, 0]",0.0,,,,Morehouse,401431864,False,,2022,regular,2022-09-10T22:00:00.000Z,False,B.T. Harvey Stadium,6056.0,2
,,,2347,"[0, 14, 0, 0]",14.0,0.4458292255577697,,,Louisiana College,True,False,7.1310573608,,Pioneer,FCS,56,"[14, 0, 14, 17]",45.0,0.5541707744422303,,,Stetson,401423412,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Spec Martin Municipal Stadium,4416.0,2
,CIAA,II,2551,"[0, 0, 7, 15]",22.0,,,,Shaw,True,False,,,GLIAC,II,131,"[10, 3, 7, 10]",30.0,,,,Wayne State (MI),401430672,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Tom Adams Field,3600.0,2
,Liberty League,III,184,"[0, 13, 3, 14]",30.0,,,,Rochester,True,False,,,ECFC,III,3162,"[0, 3, 0, 14]",17.0,,,,Alfred State College,401435092,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Pioneer Stadium,3877.0,2
,North Coast,III,83,"[7, 24, 7, 17]",55.0,,,,DePauw,True,False,,,Heartland,III,2023,"[0, 0, 0, 0]",0.0,,,,Anderson (IN),401435348,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Macholtz Stadium,5793.0,2
,Big South,FCS,2523,"[7, 0, 0, 7]",14.0,0.0016470393908266,,,Robert Morris,True,False,15.586004095,,Mid-American,FBS,193,"[10, 14, 0, 7]",31.0,0.9983529606091732,1469.0,1469.0,Miami (OH),401416599,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Yager Stadium,3996.0,2
,USA South,III,548,"[3, 7, 0, 0]",10.0,,,,LaGrange College,True,False,,,Southern Athletic,III,2757,"[0, 21, 14, 21]",56.0,,,,Berry College,401432794,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Valhalla Stadium,4422.0,2
,Northern Sun,II,3066,"[3, 0, 0, 3]",6.0,,,,Concordia-St. Paul,True,True,,,Northern Sun,II,2587,"[7, 0, 0, 7]",14.0,,,,Southwest Minnesota State,401432422,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Schwan Regional Event Center,6072.0,2
,Great Midwest Athletic,II,308,"[7, 9, 3, 9]",28.0,,,,Ashland,True,True,,,Great Midwest Athletic,II,2224,"[3, 0, 0, 0]",3.0,,,,Findlay,401431572,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Donnell Stadium,3698.0,2
,Big South,FCS,2241,"[0, 10, 10, 7]",27.0,0.7509770772659633,,,Gardner-Webb,True,False,8.7671849876,,Sun Belt,FBS,324,"[3, 14, 7, 7]",31.0,0.2490229227340366,1658.0,1658.0,Coastal Carolina,401426332,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Brooks Stadium,3654.0,2
,Conference USA,FBS,5,"[7, 0, 0, 7]",14.0,0.1357179299270774,1539.0,1546.0,UAB,True,False,7.0299011177,,FBS Independents,FBS,2335,"[0, 7, 7, 7]",21.0,0.8642820700729226,1593.0,1586.0,Liberty,401426551,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Williams Stadium,3992.0,2
,Patriot,FCS,107,"[0, 14, 14, 9]",37.0,0.6634198469157129,,,Holy Cross,True,False,10.8690069913,,Mid-American,FBS,2084,"[7, 14, 7, 3]",31.0,0.3365801530842871,1342.0,1342.0,Buffalo,401416596,False,,2022,regular,2022-09-10T22:00:00.000Z,False,UB Stadium,3965.0,2
,Southland,FCS,2545,"[0, 3, 0, 6]",9.0,0.0012035162441147,,,Southeastern Louisiana,True,False,4.3203056947,,Conference USA,FBS,2226,"[7, 21, 7, 7]",42.0,0.9987964837558851,1487.0,1487.0,Florida Atlantic,401426546,False,,2022,regular,2022-09-10T22:00:00.000Z,False,FAU Stadium,3715.0,2
,Big 12,FBS,2305,"[0, 21, 14, 7, 13]",55.0,0.684911955366803,1254.0,1194.0,Kansas,True,True,9.1436612467,,Big 12,FBS,277,"[14, 14, 0, 14, 0]",42.0,0.3150880446331969,1430.0,1490.0,West Virginia,401404065,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Mountaineer Field at Milan Puskar Stadium,3842.0,2
,SIAC,II,2013,"[7, 0, 0, 6]",13.0,0.0875634959225071,,,Albany State (GA),True,False,6.8572902497,,SWAC,FCS,50,"[0, 17, 6, 0]",23.0,0.9124365040774928,,,Florida A&M,401424948,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Bragg Memorial Stadium,3650.0,2
,Pennsylvania State Athletic,II,2385,"[0, 6, 29, 14]",49.0,,,,Mercyhurst,True,True,,,Pennsylvania State Athletic,II,209,"[7, 0, 0, 0]",7.0,,,,Lock Haven,401433023,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Hubert Jack Stadium,3760.0,2
,Sun Belt,FBS,295,"[7, 0, 7, 7]",21.0,0.0069892581421703,1363.0,1391.0,Old Dominion,True,False,7.0297903997,,American Athletic,FBS,151,"[9, 7, 6, 17]",39.0,0.9930107418578296,1550.0,1522.0,East Carolina,401415024,False,,2022,regular,2022-09-10T22:00:00.000Z,False,Dowdy-Ficklen Stadium,3699.0,2
,Pennsylvania State Athletic,II,2291,"[13, 7, 8, 10]",38.0,,,,Indiana (PA),True,True,,,Pennsylvania State Athletic,II,2188,"[0, 14, 14, 7]",35.0,,,,East Stroudsburg,401433006,False,,2022,regular,2022-09-10T22:05:00.000Z,False,Eiler-Martin Stadium,4439.0,2
,Old Dominion,III,2047,"[0, 3, 7, 14]",24.0,,,,Averett,True,False,,,New Jersey,III,3112,"[7, 0, 3, 10]",20.0,,,,Christopher Newport,401432629,False,,2022,regular,2022-09-10T23:00:00.000Z,False,TowneBank Stadium,3879.0,2
,Western Athletic,FCS,2617,"[7, 0, 3, 7]",17.0,0.0013570708780696,,,Stephen F. Austin,True,False,3.949191969,,Conference USA,FBS,2348,"[21, 17, 14, 0]",52.0,0.9986429291219304,1238.0,1238.0,Louisiana Tech,401426547,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Joe Aillet Stadium,3776.0,2
,Mid-American,FBS,2459,"[0, 7, 14, 14]",35.0,0.1931404874939599,1377.0,1376.0,Northern Illinois,True,False,8.5016490967,,American Athletic,FBS,202,"[7, 17, 0, 14]",38.0,0.80685951250604,1499.0,1500.0,Tulsa,401415620,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Skelly Field at H. A. Chapman Stadium,3674.0,2
,USA South,III,291,"[21, 7, 7, 14]",49.0,,,,Methodist,True,False,,,Old Dominion,III,2258,"[0, 0, 8, 8]",16.0,,,,Guilford,401439547,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Armfield Athletic Center,5892.0,2
,Atlantic Sun,FCS,55,"[7, 3, 10, 14]",34.0,0.9991552593960072,,,Jacksonville State,True,False,3.6714067029,,OVC,FCS,93,"[0, 3, 0, 0]",3.0,0.0008447406039928,,,Murray State,401413215,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Roy Stewart Stadium,3909.0,2
,USA South,III,2938,"[7, 16, 0, 15]",38.0,,,,Huntingdon,True,False,,,Southern Athletic,III,3,"[7, 14, 8, 6]",35.0,,,,Birmingham-Southern,401435195,False,,2022,regular,2022-09-10T23:00:00.000Z,False,General Charles C. Krulak Stadium,3871.0,2
,Wisconsin,III,2744,"[0, 0, 0, 0]",0.0,,,,UW-Stout,True,False,,,American Rivers,III,2685,"[10, 14, 0, 3]",27.0,,,,Wartburg,401430982,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Walston-Hoover Stadium,6137.0,2
,Michigan,III,2651,"[3, 0, 7, 14]",24.0,,,,Trine,True,False,,,Heartland,III,86,"[7, 16, 0, 0]",23.0,,,,Rose-Hulman,401431144,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Cook Stadium,6111.0,2
,CCIW,III,396,"[0, 7, 0, 3, 6]",16.0,,,,Wheaton College (Ill),True,False,,,Southern Athletic,III,386,"[7, 0, 3, 0, 7]",17.0,,,,Trinity (TX),401431101,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Trinity University Stadium,6132.0,2
,Midwest,III,255,"[0, 6, 0, 0]",6.0,,,,Knox College,True,True,,,Midwest,III,2891,"[13, 20, 0, 0]",33.0,,,,Ripon,401431275,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Ingalls Field,6109.0,2
,SWAC,FCS,2016,"[0, 0, 0, 0]",0.0,0.0010390880162979,,,Alcorn State,True,False,2.6675173865,,American Athletic,FBS,2655,"[17, 14, 14, 7]",52.0,0.998960911983702,1501.0,1501.0,Tulane,401415615,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Benson Field at Yulman Stadium,4729.0,2
,Great Midwest Athletic,II,2682,"[0, 14, 3, 0]",17.0,,,,Walsh,True,True,,,Great Midwest Athletic,II,2273,"[0, 7, 7, 21]",35.0,,,,Hillsdale,401431580,False,,2022,regular,2022-09-10T23:00:00.000Z,False,"Frank ""Muddy"" Waters Stadium",3729.0,2
,South Atlantic,II,2444,"[7, 10, 3, 9]",29.0,,,,Newberry,True,False,,,Gulf South,II,2822,"[7, 0, 6, 9]",22.0,,,,North Greenville,401431832,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Younts Stadium,6061.0,2
,Rocky Mountain,II,2714,"[0, 10, 14, 0, 7, 0]",31.0,,,,Western State,True,False,,,Lone Star,II,110243,"[0, 10, 6, 8, 7, 3]",34.0,,,,University of Texas of the Permian Basin,401431907,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Ratliff Stadium,5917.0,2
,Northern Sun,II,134,"[3, 0, 7, 0]",10.0,,,,Minnesota-Duluth,True,True,,,Northern Sun,II,2364,"[14, 3, 0, 0]",17.0,,,,Minnesota State,401432404,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Blakeslee Stadium,3641.0,2
,Mid America,II,2403,"[6, 7, 0, 17]",30.0,,,,Missouri Southern State,True,True,,,Mid America,II,196,"[0, 6, 7, 0]",13.0,,,,Northeastern State,401431946,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Gable Field at Doc Wadley Stadium,6062.0,2
,Gulf South,II,110242,"[7, 21, 14, 7]",49.0,,,,West Florida,True,False,,,Great Lakes,II,2586,"[0, 0, 10, 0]",10.0,,,,Southwest Baptist,401431811,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Plaster Sports Complex,3878.0,2
,SWAC,FCS,2755,"[14, 27, 6, 0]",47.0,0.7513035173944189,,,Grambling,True,False,5.7891675737,,Southland,FCS,2466,"[7, 0, 7, 7]",21.0,0.248696482605581,,,Northwestern State,401418810,True,,2022,regular,2022-09-10T23:00:00.000Z,False,Independence Stadium,3766.0,2
,Southland,FCS,2837,"[0, 16, 3, 6]",25.0,,,,Texas A&M-Commerce,True,False,,,OVC,FCS,2635,"[0, 3, 3, 20]",26.0,,,,Tennessee Tech,401421126,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Tucker Stadium,3962.0,2
,CAA,FCS,160,"[7, 7, 7, 7]",28.0,0.8486108813381975,,,New Hampshire,True,True,3.27140933,,CAA,FCS,399,"[0, 3, 7, 13]",23.0,0.1513891186618024,,,Albany,401424418,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Bob Ford Field,4419.0,2
,OVC,FCS,2546,"[7, 7, 3, 17]",34.0,0.1572032511928919,,,Southeast Missouri State,True,False,11.217311443,,MVFC,FCS,79,"[3, 7, 7, 14]",31.0,0.8427967488071081,,,Southern Illinois,401425451,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Saluki Stadium,3913.0,2
,South Atlantic,II,2842,"[14, 3, 0, 0]",17.0,0.003051400862071,,,UVA-Wise,True,False,5.7810918042,,Atlantic Sun,FCS,2453,"[0, 21, 14, 14]",49.0,0.996948599137929,,,North Alabama,401418777,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Braly Municipal Stadium,4133.0,2
,Big Sky,FCS,302,"[0, 10, 0, 12]",22.0,0.0539381984746099,,,UC Davis,True,False,5.0348239767,,MVFC,FCS,2571,"[7, 10, 0, 7]",24.0,0.94606180152539,,,South Dakota State,401415182,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Coughlin-Alumni Stadium,5237.0,2
,Big Sky,FCS,2464,"[0, 7, 3, 0]",10.0,0.884534567616381,,,Northern Arizona,True,False,5.855146199,,Western Athletic,FCS,2534,"[0, 3, 0, 0]",3.0,0.1154654323836189,,,Sam Houston State,401415170,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Bowers Stadium,3647.0,2
,MEAC,FCS,2415,"[7, 7, 7, 0]",21.0,,,,Morgan State,True,False,,,CAA,FCS,119,"[3, 10, 13, 3]",29.0,,,,Towson,401420778,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Johnny Unitas Stadium,3781.0,2
,Southern,FCS,236,"[7, 7, 14, 10]",38.0,0.9985147542363522,,,Chattanooga,True,False,4.4948567943,,OVC,FCS,2197,"[10, 0, 10, 0]",20.0,0.0014852457636477,,,Eastern Illinois,401421128,False,,2022,regular,2022-09-10T23:00:00.000Z,False,O'Brien Stadium,3858.0,2
,OVC,FCS,2815,"[6, 0, 6, 9]",21.0,0.860337865097009,,,Lindenwood,True,False,8.7613027023,,Southland,FCS,2277,"[7, 10, 3, 0]",20.0,0.139662134902991,,,Houston Christian,401418792,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Husky Stadium,4424.0,2
,South Atlantic,II,122666,"[7, 7, 3, 0]",17.0,0.0026348483601867,,,Barton College,True,False,11.3056248461,,Pioneer,FCS,2166,"[14, 13, 0, 10]",37.0,0.9973651516398132,,,Davidson,401423144,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Richardson Stadium,3897.0,2
,Midwest,III,262,"[10, 21, 17, 7]",55.0,,,,Lake Forest,True,True,,,Midwest,III,268,"[0, 0, 0, 0]",0.0,,,,Lawrence,401431265,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Ron Roberts Field at the Banta Bowl,5919.0,2
,Wisconsin,III,2740,"[0, 20, 3, 7]",30.0,,,,Wisconsin-La Crosse,True,False,,,American Rivers,III,49,"[3, 0, 0, 0]",3.0,,,,Dubuque,401430961,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Chalmers Field,5836.0,2
,American Rivers,III,263,"[0, 6, 13, 7]",26.0,,,,Loras College,True,False,,,NACC,III,2283,"[13, 21, 0, 14]",48.0,,,,Benedictine (IL),401432515,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Village of Lisle-Benedictine University Sports Complex,6284.0,2
,Midwest,III,32,"[14, 21, 13, 6]",54.0,,,,Carroll (WI),True,False,,,NACC,III,2741,"[0, 7, 0, 0]",7.0,,,,Wisconsin Lutheran,401432538,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Warrior Field at Raabe Stadium,5913.0,2
,ACC,FBS,183,"[17, 10, 14, 7]",48.0,0.9957829336551576,1537.0,1484.0,Syracuse,True,False,2.4224749319,,FBS Independents,FBS,41,"[0, 7, 7, 0]",14.0,0.0042170663448424,1075.0,1128.0,Connecticut,401404148,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Rentschler Field,3892.0,2
,FBS Independents,FBS,113,"[0, 7, 0, 3]",10.0,0.0040210623655574,934.0,997.0,UMass,True,False,2.7800511803,,Mid-American,FBS,2649,"[14, 14, 17, 10]",55.0,0.9959789376344426,1597.0,1534.0,Toledo,401414779,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Glass Bowl,3739.0,2
,Big Sky,FCS,2692,"[13, 0, 15, 7]",35.0,0.9991440355035804,,,Weber State,True,False,4.1154292735,,Mountain West,FBS,328,"[7, 0, 0, 0]",7.0,0.0008559644964197,1566.0,1566.0,Utah State,401415215,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Romney Stadium,3905.0,2
,Southland,FCS,2320,"[0, 10, 3, 3]",16.0,0.0021488074204663,,,Lamar,True,False,5.5835799006,,American Athletic,FBS,2567,"[14, 10, 14, 7]",45.0,0.9978511925795336,1684.0,1684.0,SMU,401415616,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Gerald J. Ford Stadium,3735.0,2
,MEAC,FCS,47,"[7, 0, 7, 6]",20.0,0.0039105444413366,,,Howard,True,False,5.1797860968,,American Athletic,FBS,58,"[0, 14, 14, 14]",42.0,0.9960894555586634,1222.0,1222.0,South Florida,401415618,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Raymond James Stadium,3886.0,2
,Mid-American,FBS,2309,"[0, 3, 0, 0]",3.0,0.0018593118020815,1274.0,1299.0,Kent State,True,False,5.8002904353,,Big 12,FBS,201,"[0, 7, 24, 2]",33.0,0.9981406881979183,1811.0,1786.0,Oklahoma,401404066,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Gaylord Family Oklahoma Memorial Stadium,3835.0,2
,Mid-American,FBS,2199,"[7, 7, 7, 0]",21.0,0.0022802351288431,1345.0,1380.0,Eastern Michigan,True,False,6.9388028324,,Sun Belt,FBS,309,"[0, 0, 21, 28]",49.0,0.9977197648711568,1755.0,1720.0,Louisiana,401416598,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Cajun Field,3666.0,2
,SWAC,FCS,2296,"[0, 6, 3, 7]",16.0,0.7379957334545704,,,Jackson State,True,False,7.3681302776,,OVC,FCS,2634,"[3, 0, 0, 0]",3.0,0.2620042665454296,,,Tennessee State,401424953,True,,2022,regular,2022-09-10T23:00:00.000Z,False,Liberty Bowl Memorial Stadium,3805.0,2
,,,123086,"[0, 3, 0, 0]",3.0,,,,North American University,True,False,,,SWAC,FCS,2029,"[24, 28, 10, 14]",76.0,,,,Arkansas-Pine Bluff,401444874,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Golden Lion Stadium,3740.0,2
,Ohio,III,427,"[14, 0, 7, 7]",28.0,,,,Ohio Northern,True,True,,,Ohio,III,424,"[0, 6, 7, 0]",13.0,,,,Capital,401432688,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Bernlohr Stadium,5812.0,2
,Atlantic Sun,FCS,2110,"[0, 0, 0, 3]",3.0,0.0012921689451033,,,Central Arkansas,True,False,2.2916114203,,SEC,FBS,145,"[28, 3, 21, 7]",59.0,0.9987078310548968,1681.0,1681.0,Ole Miss,401403874,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Vaught-Hemingway Stadium,3974.0,2
,SWAC,FCS,2010,"[3, 0, 0, 14]",17.0,0.0102445791654641,,,Alabama A&M,True,False,4.7815261284,,Sun Belt,FBS,2653,"[0, 7, 21, 10]",38.0,0.9897554208345358,1324.0,1324.0,Troy,401423439,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Veterans Memorial Stadium,3975.0,2
,Northern Sun,II,425,"[3, 0, 3, 0]",6.0,,,,Northern State,True,True,,,Northern Sun,II,2844,"[3, 7, 3, 0]",13.0,,,,Wayne State (NE),401432430,False,,2022,regular,2022-09-10T23:00:00.000Z,False,"Memorial Stadium (Wayne, NE)",6035.0,2
,USA South,III,286,"[0, 0, 0, 0]",0.0,,,,NC Wesleyan,True,False,,,Old Dominion,III,2828,"[21, 21, 3, 0]",45.0,,,,Shenandoah,401432727,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Shentel Stadium,6116.0,2
,Upper Midwest,III,446,"[0, 0, 0, 7]",7.0,,,,Martin Luther College,True,False,,,Minnesota,III,2359,"[3, 7, 20, 13]",43.0,,,,Macalester,401432844,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Macalester Stadium,5928.0,2
,USA South,III,2373,"[3, 0, 7, 0]",10.0,,,,Maryville TN,True,False,,,Southern Athletic,III,2121,"[3, 7, 7, 3]",20.0,,,,Centre,401432803,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Farris Stadium,5818.0,2
,Conference USA,FBS,2229,"[3, 3, 0, 6]",12.0,0.0042005755627931,1022.0,1080.0,Florida International,True,False,5.7638231329,,Sun Belt,FBS,326,"[10, 10, 0, 21]",41.0,0.9957994244372068,1299.0,1241.0,Texas State,401426544,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Jim Wacker Field at Bobcat Stadium,3644.0,2
,Gulf South,II,2695,"[7, 10, 0, 14]",31.0,,,,West Alabama,True,False,,,SIAC,II,2396,"[0, 0, 0, 0]",0.0,,,,Miles,401431855,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Albert J. H. Sloan - Alumni Stadium,6027.0,2
,Great American,II,200,"[0, 0, 0, 0]",0.0,,,,Southern Nazarene,True,True,,,Great American,II,2888,"[10, 21, 14, 0]",45.0,,,,Ouachita Baptist,401431485,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Cliff Harris Stadium,6065.0,2
,Great American,II,319,"[7, 3, 0, 7]",17.0,,,,Oklahoma Baptist,True,True,,,Great American,II,2028,"[20, 20, 0, 0]",40.0,,,,Arkansas-Monticello,401430740,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Convoy Leslie Cotton Boll Stadium,5871.0,2
,Great American,II,2568,"[3, 10, 7, 0]",20.0,,,,Southern Arkansas,True,True,,,Great American,II,2927,"[7, 7, 0, 10]",24.0,,,,Southwestern Oklahoma,401431480,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Milam Stadium,6073.0,2
,Great American,II,2271,"[21, 14, 14, 2]",51.0,,,,Henderson State,True,True,,,Great American,II,2823,"[7, 7, 0, 13]",27.0,,,,Northwestern Oklahoma State,401431458,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Ranger Field,4763.0,2
,Great American,II,2191,"[0, 3, 3, 7]",13.0,,,,East Central,True,True,,,Great American,II,2033,"[0, 14, 7, 14]",35.0,,,,Arkansas Tech,401430729,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Thone Stadium at Buerkle Field,5870.0,2
,South Atlantic,II,351,"[7, 0, 7, 7]",21.0,,,,Wingate,True,False,,,CIAA,II,2220,"[0, 0, 0, 3]",3.0,,,,Fayetteville State,401430709,False,,2022,regular,2022-09-10T23:00:00.000Z,False,"Luther ""Nick"" Jeralds Stadium",3813.0,2
,SEC,FBS,96,"[0, 13, 10, 3]",26.0,0.9819910857868882,1722.0,1713.0,Kentucky,True,True,6.2882432307,,SEC,FBS,57,"[3, 13, 0, 0]",16.0,0.0180089142131118,1567.0,1576.0,Florida,401403871,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Ben Hill Griffin Stadium,3634.0,2
,Southern,FCS,2717,"[14, 0, 0, 3]",17.0,0.0759983026441251,,,Western Carolina,True,False,5.3509744167,,ACC,FBS,59,"[14, 14, 7, 0]",35.0,0.9240016973558748,1287.0,1287.0,Georgia Tech,401411104,False,,2022,regular,2022-09-10T23:00:00.000Z,False,Bobby Dodd Stadium at Historic Grant Field,721.0,2
,Pac-12,FBS,30,"[21, 14, 6, 0]",41.0,0.9694582071170672,1618.0,1612.0,USC,True,True,2.8489641974,,Pac-12,FBS,24,"[7, 7, 0, 14]",28.0,0.0305417928829327,1349.0,1355.0,Stanford,401403980,False,,2022,regular,2022-09-10T23:30:00.000Z,False,Stanford Stadium,3940.0,2
,Mountain West,FBS,23,"[0, 10, 0, 6]",16.0,0.0016995011490309,1343.0,1338.0,San José State,True,False,6.5729881148,,SEC,FBS,2,"[0, 7, 10, 7]",24.0,0.998300498850969,1627.0,1632.0,Auburn,401403870,False,,2022,regular,2022-09-10T23:30:00.000Z,False,Jordan-Hare Stadium,3785.0,2
,Pac-12,FBS,9,"[3, 0, 7, 7]",17.0,0.2726471798078782,1592.0,1614.0,Arizona State,True,False,5.9675824212,,Big 12,FBS,197,"[0, 17, 3, 14]",34.0,0.7273528201921218,1805.0,1783.0,Oklahoma State,401403975,False,,2022,regular,2022-09-10T23:30:00.000Z,False,Boone Pickens Stadium,3646.0,2
,Southland,FCS,2377,"[0, 0, 10, 0]",10.0,0.0011344033148548,,,McNeese,True,False,2.6292522702,,Conference USA,FBS,242,"[10, 21, 14, 7]",52.0,0.9988655966851452,1111.0,1111.0,Rice,401426550,False,,2022,regular,2022-09-10T23:30:00.000Z,False,Rice Stadium,3895.0,2
,SWAC,FCS,2640,"[3, 14, 7, 3]",27.0,0.0019152069643648,,,Texas Southern,True,False,3.4148424752,,Conference USA,FBS,249,"[10, 35, 7, 7]",59.0,0.9980847930356352,1361.0,1361.0,North Texas,401426549,False,,2022,regular,2022-09-10T23:30:00.000Z,False,Apogee Stadium,3825.0,2
,Sun Belt,FBS,290,"[14, 14, 7, 10]",45.0,0.423864748195175,1402.0,1382.0,Georgia Southern,True,False,8.936899543,,Big Ten,FBS,158,"[7, 21, 7, 7]",42.0,0.5761352518048249,1596.0,1616.0,Nebraska,401405072,False,,2022,regular,2022-09-10T23:30:00.000Z,False,Memorial Stadium,3834.0,2
,SWAC,FCS,2582,"[0, 0, 7, 10]",17.0,0.0010285617391825,,,Southern,True,False,1.712287616,,SEC,FBS,99,"[37, 14, 7, 7]",65.0,0.9989714382608176,,,LSU,401403873,False,,2022,regular,2022-09-10T23:30:00.000Z,False,Tiger Stadium,3958.0,2
,Pioneer,FCS,2674,"[7, 7, 0, 7]",21.0,0.1095025147216826,,,Valparaiso,True,False,5.3390781023,,MVFC,FCS,2287,"[7, 14, 7, 0]",28.0,0.8904974852783174,,,Illinois State,401418828,False,,2022,regular,2022-09-10T23:30:00.000Z,False,Hancock Stadium,3744.0,2
,Southland,FCS,2447,"[7, 0, 0, 0]",7.0,0.0017569565054801,,,Nicholls,True,False,5.6420662241,,Sun Belt,FBS,2433,"[0, 21, 7, 7]",35.0,0.99824304349452,1121.0,1121.0,Louisiana Monroe,401421117,False,,2022,regular,2022-09-11T00:00:00.000Z,False,Malone Stadium,3817.0,2
,American Southwest,III,2588,"[0, 0, 9, 6]",15.0,,,,Southwestern University,True,True,,,USA South,III,2056,"[14, 14, 0, 14]",42.0,,,,Belhaven College,401430987,False,,2022,regular,2022-09-11T00:00:00.000Z,False,Belhaven Bowl Stadium,5802.0,2
,GLIAC,II,125,[],35.0,,,,Grand Valley State,True,False,,,Rocky Mountain,II,2570,[],10.0,,,,Colorado State-Pueblo,401431532,False,,2022,regular,2022-09-11T00:00:00.000Z,False,Neta and Eddie DeRose ThunderBowl,4852.0,2
,Great Midwest Athletic,II,437,"[0, 14, 6, 6]",26.0,,,,Lake Erie College,True,True,,,Great Midwest Athletic,II,2316,"[0, 0, 7, 14]",21.0,,,,Kentucky Wesleyan,401431585,False,,2022,regular,2022-09-11T00:00:00.000Z,False,Steele Stadium,5263.0,2
,Lone Star,II,2395,"[10, 3, 0, 15]",28.0,,,,Midwestern State,True,True,,,Lone Star,II,2201,"[0, 7, 7, 0]",14.0,,,,Eastern New Mexico,401431895,False,,2022,regular,2022-09-11T00:00:00.000Z,False,Al Whitehead Field at Greyhound Stadium,5938.0,2
